id;name;phone;address
1;reciprocal withdrawal;(976)183-06-75;консультант disintermediate plug-and-play
2;strategy консультант;(969)204-57-90;Республика iterate SMTP
3;Account;(944)750-83-88;Эргономичный Волгоградская Районный
4;Account Бетонный;(949)066-86-11;back-end
5;Avon онлайн;(974)062-95-24;Hryvnia context-sensitive Пластиковый
6;regional;(904)949-91-22;интерфейс округ
7;шифрование migration Пластиковый;(902)609-01-33;analyzing
8;ubiquitous;(935)127-93-56;администратор e-business
9;оптический Ямало-Ненецкий;(969)905-61-69;Берет Сабо
10;Центральный проспект;(960)788-37-33;bandwidth expedite
