id;card_number;bank_number;sys_number;card_type;credit;balance;expire_date;pan;masked_pan
1;монитор Сабо;шифрование Cambridgeshire монитор;web-enabled;HUMO;true;76751;2021-11-29;disintermediate операционный;Ливан Berkshire
2;разработчик moderator;Бетонный Сент-Винсент микрочип;Международный Мавритания;HUMO;true;88384;2021-11-29;Guarani;morph
3;empower SMTP Международный;bleeding-edge Галантерея;Cambridgeshire EXE networks;HUMO;true;85951;2021-11-30;инженер;Гранитный
4;Автомобильное сотрудник;Ремень пурпурный ЭВМ;systematic;HUMO;true;28139;2021-11-29;Главный интеграционный Эргономичный;Большой systems
5;техник Компьютер;генерация granular;Центральный;HUMO;false;24723;2021-11-29;methodologies e-services cross-platform;supply-chains synergy инженер
6;Bedfordshire;программирование;операционный;HUMO;true;31240;2021-11-29;Extended metrics;Account
7;беспроводной продукт;Ливан Маленький;withdrawal красно-пурпурный Глобальный;HUMO;true;88673;2021-11-29;local;Соломоновы
8;sexy;Ведущий Компьютер;Бетонный withdrawal;HUMO;true;29153;2021-11-29;орхидный;Krona mobile
9;Генеральный инженер ул.;твердотельный;scale;HUMO;true;39250;2021-11-30;Synergized;ADP Центральный
10;навигировать methodologies SSL;streamline;maximized syndicate синтез;HUMO;true;49316;2021-11-30;инженер Advanced Региональный;разработчик
