id;name;phone;address
1;Programmable Account;(994)734-08-20;Неодимовый
2;зеленовато-голубой to;(916)906-00-32;Лоснящийся площадь
3;ОС Cambridgeshire Krone;(900)556-20-66;Investment task-force аналитик
4;коммуникационный New;(953)445-27-67;real-time Свитер Неодимовый
5;Credit;(906)745-63-77;желто-коричневый deposit
6;страховой monetize Региональный;(924)878-71-28;ADP Великолепный Хлопковый
7;конденсатор ЭВМ;(975)672-68-79;Районный
8;передача планировщик Cambridgeshire;(933)094-36-43;Бакалея heuristic кросс-платформенный
9;deposit Фиджи;(900)093-00-93;deposit Account PNG
10;networks;(996)321-18-00;Босния Хлопковый
